instant,date,season,year,month,holiday,weekday,workingday,weather,temp,atemp,hum,windspeed,casual,registered,count
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,No,Misty,8.175849,0.363625,80.58330000000001,10.749882,331,654,985
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,No,Misty,9.083466000000001,0.353739,69.6087,16.652113,131,670,801
3,2011-01-03,Spring,2011,Jan,Not Holiday,Mon,Yes,Clear,1.229108,0.189405,43.7273,16.636703,120,1229,1349
4,2011-01-04,Spring,2011,Jan,Not Holiday,Tue,Yes,Clear,1.4000000000000004,0.212122,59.0435,10.739832,108,1454,1562
5,2011-01-05,Spring,2011,Jan,Not Holiday,Wed,Yes,Clear,2.6669789999999995,0.22927,43.695699999999995,12.522300000000001,82,1518,1600
6,2011-01-06,Spring,2011,Jan,Not Holiday,Thu,Yes,Clear,1.6043559999999992,0.233209,51.8261,6.0008684,88,1518,1606
7,2011-01-07,Spring,2011,Jan,Not Holiday,Fri,Yes,Misty,1.2365340000000007,0.208839,49.8696,11.304642,148,1362,1510
8,2011-01-08,Spring,2011,Jan,Not Holiday,Sat,No,Misty,-0.24499999999999922,0.162254,53.5833,17.875868,68,891,959
9,2011-01-09,Spring,2011,Jan,Not Holiday,Sun,No,Clear,-1.4983489999999993,0.116175,43.416700000000006,24.25065,54,768,822
10,2011-01-10,Spring,2011,Jan,Not Holiday,Mon,Yes,Clear,-0.9108490000000007,0.150888,48.2917,14.958889,41,1280,1321
11,2011-01-11,Spring,2011,Jan,Not Holiday,Tue,Yes,Misty,-0.0527230000000003,0.191464,68.6364,8.182844000000001,43,1220,1263
12,2011-01-12,Spring,2011,Jan,Not Holiday,Wed,Yes,Clear,0.11816899999999997,0.160473,59.954499999999996,20.410009,25,1137,1162
13,2011-01-13,Spring,2011,Jan,Not Holiday,Thu,Yes,Clear,-0.24499999999999922,0.150883,47.0417,20.166999999999998,38,1368,1406
14,2011-01-14,Spring,2011,Jan,Not Holiday,Fri,Yes,Clear,-0.43910999999999945,0.188413,53.7826,8.478716,54,1367,1421
15,2011-01-15,Spring,2011,Jan,Not Holiday,Sat,No,Misty,2.9666510000000006,0.248112,49.875,10.583521,222,1026,1248
16,2011-01-16,Spring,2011,Jan,Not Holiday,Sun,No,Clear,2.888349,0.234217,48.375,12.625010999999999,251,953,1204
17,2011-01-17,Spring,2011,Jan,Holiday,Mon,No,Misty,0.264151,0.176771,53.75,12.999139,117,883,1000
18,2011-01-18,Spring,2011,Jan,Not Holiday,Tue,Yes,Misty,2.1833489999999998,0.232333,86.16669999999999,9.833924999999999,9,674,683
19,2011-01-19,Spring,2011,Jan,Not Holiday,Wed,Yes,Misty,5.732177999999999,0.298422,74.1739,13.957239,78,1572,1650
20,2011-01-20,Spring,2011,Jan,Not Holiday,Thu,Yes,Misty,4.298349,0.25505,53.833299999999994,13.125568,83,1844,1927
21,2011-01-21,Spring,2011,Jan,Not Holiday,Fri,Yes,Clear,0.34249999999999936,0.157833,45.7083,23.667214,75,1468,1543
22,2011-01-22,Spring,2011,Jan,Not Holiday,Sat,No,Clear,-5.2208711999999995,0.0790696,40.0,11.52199,93,888,981
23,2011-01-23,Spring,2011,Jan,Not Holiday,Sun,No,Clear,-3.4634801,0.0988391,43.6522,16.5222,150,836,986
24,2011-01-24,Spring,2011,Jan,Not Holiday,Mon,Yes,Clear,-3.4226089,0.11793,49.173899999999996,10.60811,86,1330,1416
25,2011-01-25,Spring,2011,Jan,Not Holiday,Tue,Yes,Misty,2.5034660000000013,0.234526,61.695699999999995,8.696332,186,1799,1985
26,2011-01-26,Spring,2011,Jan,Not Holiday,Wed,Yes,Light Rain,2.2225,0.2036,86.25,19.68795,34,472,506
27,2011-01-27,Spring,2011,Jan,Not Holiday,Thu,Yes,Clear,1.165000000000001,0.2197,68.75,7.627078999999999,15,416,431
28,2011-01-28,Spring,2011,Jan,Not Holiday,Fri,Yes,Misty,1.563466,0.223317,79.30430000000001,8.2611,38,1129,1167
29,2011-01-29,Spring,2011,Jan,Not Holiday,Sat,No,Clear,1.2365340000000007,0.212126,65.17389999999999,9.739455,123,975,1098
30,2011-01-30,Spring,2011,Jan,Not Holiday,Sun,No,Clear,2.176534,0.250322,72.2174,4.956834199999999,140,956,1096
31,2011-01-31,Spring,2011,Jan,Not Holiday,Mon,Yes,Misty,0.49915099999999946,0.18625,60.375,12.541864,42,1459,1501
32,2011-02-01,Spring,2011,Feb,Not Holiday,Tue,Yes,Misty,1.032178,0.23453,82.9565,3.565271,47,1313,1360
33,2011-02-02,Spring,2011,Feb,Not Holiday,Wed,Yes,Misty,4.220000000000001,0.254417,77.5417,17.708636,72,1454,1526
34,2011-02-03,Spring,2011,Feb,Not Holiday,Thu,Yes,Clear,0.7869790000000005,0.177878,43.7826,18.609384,61,1489,1550
35,2011-02-04,Spring,2011,Feb,Not Holiday,Fri,Yes,Misty,1.9312880000000003,0.228587,58.521699999999996,8.565213,88,1620,1708
36,2011-02-05,Spring,2011,Feb,Not Holiday,Sat,No,Misty,2.9666510000000006,0.243058,92.91669999999999,10.792293,100,905,1005
37,2011-02-06,Spring,2011,Feb,Not Holiday,Sun,No,Clear,5.434151,0.291671,56.833299999999994,9.5006,354,1269,1623
38,2011-02-07,Spring,2011,Feb,Not Holiday,Mon,Yes,Clear,4.768348999999999,0.303658,73.83330000000001,3.0423561,120,1592,1712
39,2011-02-08,Spring,2011,Feb,Not Holiday,Tue,Yes,Clear,2.3791510000000002,0.198246,53.7917,24.25065,64,1466,1530
40,2011-02-09,Spring,2011,Feb,Not Holiday,Wed,Yes,Misty,-1.6651990000000003,0.144283,49.4783,12.652213,53,1552,1605
41,2011-02-10,Spring,2011,Feb,Not Holiday,Thu,Yes,Clear,-1.2156440000000002,0.149548,43.7391,14.869645,47,1491,1538
42,2011-02-11,Spring,2011,Feb,Not Holiday,Fri,Yes,Clear,0.887277000000001,0.213509,50.6364,7.272849999999999,149,1597,1746
43,2011-02-12,Spring,2011,Feb,Not Holiday,Sat,No,Clear,2.4574999999999996,0.232954,54.4167,13.625589,288,1184,1472
44,2011-02-13,Spring,2011,Feb,Not Holiday,Sun,No,Clear,6.876534000000001,0.324113,45.7391,17.479160999999998,397,1192,1589
45,2011-02-14,Spring,2011,Feb,Not Holiday,Mon,Yes,Clear,11.504999999999999,0.39835,37.583299999999994,27.999836,208,1705,1913
46,2011-02-15,Spring,2011,Feb,Not Holiday,Tue,Yes,Clear,4.506089000000001,0.254274,31.434800000000003,19.522058,140,1675,1815
47,2011-02-16,Spring,2011,Feb,Not Holiday,Wed,Yes,Clear,6.958267000000001,0.3162,42.3478,16.869996999999998,218,1897,2115
48,2011-02-17,Spring,2011,Feb,Not Holiday,Thu,Yes,Clear,12.484151,0.428658,50.5,15.416968,259,2216,2475
49,2011-02-18,Spring,2011,Feb,Not Holiday,Fri,Yes,Clear,16.518349,0.511983,51.6667,17.749975000000003,579,2348,2927
50,2011-02-19,Spring,2011,Feb,Not Holiday,Sat,No,Clear,10.760849,0.391404,18.7917,34.000021,532,1103,1635
